label,statement
barely-true,"Stopped by Smiley Cookie to pick up some great cookies for the family, along with Rudy."
barely-true,We are accepting more legal immigrants than we ever have in the history (of the United States.)
barely-true,"When Georgia tightened its voter identification laws, the state sent a van and photographer to the homes of people who needed photo IDs and made them for free."
barely-true,I left the city with $43 million in the bank.
barely-true,The jobs bill includes President Obamas tax on soup kitchens
barely-true,"Says state Rep. Patrick Rose votes 90 percent with liberals, backed the states largest tax increase, proposed nearly $15 billion in government spending and supported Obama-style government-run health care system for Texas."
barely-true,"As a senator, Hillary Clinton paid women less than the men in her office."
barely-true,"Says Abortion clinics in Oregon, as in most states, have no state oversight and are not held to basic health or safety standards."
barely-true,"As a result of Chris Sununus vote against a Planned Parenthood contract, nearly 3,000 fewer women and families statewide accessed health care for birth control, cancer screenings and annual exams."
barely-true,Says Merrick Garland authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists.
barely-true,"Says Ive been proven right about Hillary Clintons radical call for open borders, meaning anyone in the world can enter the United States without any limit at all."
barely-true,Says Ovide Lamontagne wants to eliminate kindergarten.
barely-true,"DeWine took $1.9 million from big banks, supported legislation that helped Bernie Madoff make millions and protected predatory lenders while families lost their homes."
barely-true,Says he has nearly 200 delegates bound to support his candidacy at the Republican National Convention.
barely-true,"(Birmingham, Ala.) is the cradle of the civil rights movement."
barely-true,"The Obama administration ... would impose on every Catholic institution, every Jewish institution, every Protestant institution the Obamacare standard of what you have to buy as insurance."
barely-true,"Faced with $1 million in campaign debt, Scott Walker is unloading his campaign security costs onto the backs of Wisconsin taxpayers."
barely-true,U.S. Sen. Lindsey Graham says South Carolina has a labor shortage and wants more immigration.
barely-true,"In 2010, Clinton said Iran could enrich uranium. In 2014 she said shes always argued against it."
barely-true,Vern Buchanan has been completely exonerated in a Federal Election Commission action.
barely-true,"Ebola is incredibly contagious, very transmissible and easy to catch."
barely-true,This (Ebola) is not as bad as SARSwas in 2003.
barely-true,Says PolitiFact validated and independently documented its criminal history claims about Adan Ballesteros.
barely-true,Says Donald Trump bans disabled veterans from his high rise.
barely-true,"President Obama pledged to go through the budget 'line by line,' but on his watch, non-defense spending has spiraled out of control, increasing by 67 percent in the last year alone."
barely-true,"Because of the new health care law, 17 million kids can no longer be denied for a pre-existing condition."
barely-true,"Out of the total U.S. military budget, significantly less than 10 percent of that money is used to fight international terrorism."
barely-true,"Rep. Jim Renaccis plan to end Medicare also puts nursing home care for 3,000 seniors in the district in immediate jeopardy."
barely-true,"Weve had examples like in Yuma County, where weve been able to stop 97 percent of the illegal (immigration) flow, and those programs, they abolish."
barely-true,President Barack Obama has the power to stop deportation for all undocumented immigrants in this country.
barely-true,Proof of citizenship isnt necessary before you register to vote in Florida.
barely-true,"Earlier this year, the head of the Congressional Budget Office testified before Congress that implementation of Obamacare would cost 800,000 jobs."
barely-true,"Workers in the United States are making less than they were almost 20 years ago, and yet they are working harder."
barely-true,Says 25 percent of U.S. Muslims agreed that violence against Americans here in the United States is justified as a part of the global jihad.
barely-true,Obamacare could cause 20 million people to lose their current coverage.
barely-true,"Under Ryan plan,those 54 and younger would receive the same kind of healthcare options now enjoyed by members of Congress."
barely-true,Bike lanes and sidewalks have been proven to reduce crashes by up to 38 percent on Austins streets.
barely-true,Says Mark Pryor continues to insist that Obamacare is an amazing success.
barely-true,"During his 18-year Senate career, (Russ Feingold) supported judges who voted to deny your individual Second Amendment right. (He) promises to protect those rights, but thats not what his record shows."
barely-true,Milwaukee Mayor Tom Barrett has held the line on property taxes.
barely-true,"Obamacare-caused paperwork will annually absorb 190 million hours or more--and Mount Rushmore could be built 1,547 times over with the paperwork."
barely-true,The money the Clinton Foundation took from from foreign governments while Hillary Clinton was secretary of state is clearly illegal. The Constitution says you cant take this stuff.
barely-true,Says the Affordable Care Act was a federal takeover of the student loan industry and profits on the loans go to help pay for the health care law.
barely-true,I have little doubt that we've moved into recession at this point.
barely-true,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront."
barely-true,Jason Carter supports using Georgia tax dollars to promote Obamacare
barely-true,"Rhode Island has invested less in tourism, economic development and economic development personnel than four nearby states."
barely-true,Tom Barrett voted for the largest tax increase in history ... raising taxes on gas and Social Security.
barely-true,Says Jeb Bush extended early voting after seeing long lines.
barely-true,Says that 93 percent of the time John Boccieri voted with Nancy Pelosi.
barely-true,Says Democratic challenger Russ Feingold was the deciding vote on Obamacare.
barely-true,"Obama's plan to raise the capital gains tax ""hurts the middle class."""
barely-true,Newt Gingrichs presidential campaign has exactly the same challenges as Ronald Reagans successful 1980 bid.
barely-true,Says Milwaukee County elected officials drive around in luxury cars on your dime.
barely-true,The state government workforce grew when Tim Kaine was governor.
barely-true,Says President Barack Obama attacked potential terrorist targets in Syria in the middle of the night to minimize terrorist casualties.
barely-true,"Elena Kagan ""violated the law of the United States at various points"" with her opposition to military recruiters."
barely-true,"The Great Recession emerged in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm."
barely-true,"In FY 2014 Planned Parenthood performed 327,653 abortions while receiving $528 million from taxpayers, in violation of the Hyde amendment."
barely-true,Says she has quadrupled agents to secure our border.
barely-true,"(Big banks) have invested over $300,000 in (Joe Heck), and Heck has sponsored $44 million dollars in tax breaks for banks."
barely-true,"Between 1990 and 2013, the maternal mortality rate for women in the U.S. has increased by 136%."
barely-true,A bill to aid state and local governments is fully paid-for by closing costly corporate tax loopholes.
barely-true,"Jeff Greene ""is the king of the undercover Credit Default Swap that brought about the destruction of our economy that we have right now."""
barely-true,"When I was Mayor of South Pasadena, we actually reduced the property taxes we collected."
barely-true,"During the (Benghazi) attack, a stand-down order was given, and our troops were told to change their clothes four times."
barely-true,"When Susan Rice spoke about Benghazi on Sunday news shows, she said that al-Qaida might be involved, or other al-Qaida affiliates might be involved, or non-al-Qaida Libyan extremists, which I think demonstrates that there was no effort to play that down."
barely-true,Says cuts to Medicare affect people who have already paid in. We paid for it.
barely-true,"These steps (a middle-class tax cut, national health care plan, foreclosure prevention fund, Social Security fix and more) are all paid for."
barely-true,Earth has not warmed for the last 17 years.
barely-true,"Regarding her State Department email practices, my predecessors did the same thing."
barely-true,Romney signed government-mandated health care with taxpayer-funded abortions.
barely-true,"Because of Democratic tax hikes, New Jersey ended a decade with fewer private sector jobs for the first time in recorded history."
barely-true,Handel endorsed gay adoption in 2003 when she was running for chairwoman of the Fulton County Commission.
barely-true,"A new federal program provides subsidized ""Obama phones"" with 70 free minutes of cell phone service every month."
barely-true,"In the 100 days since its passage, the economic stimulus has ""saved or created nearly 150,000 jobs."""
barely-true,"Bill Gunter would drain millions from local public schools, and give our tax dollars to private, for-profit schools run by out-of-state corporations."
barely-true,Paul Ryans Medicare plan provides pretty much the same coverage that members of Congress receive.
barely-true,"In 2012, 123 African-Americans were shot dead by police. ... Same year, 326 whites were killed by police."
barely-true,"By voting to approve [Question 1], we can . . . save 900 jobs at Twin River."
barely-true,America is one of the highest-taxed nations in the world.
barely-true,"Most of Ted Cruzs money comes from Washington, from outside the state of Texas."
barely-true,Says stores will be barred from selling 100-watt light bulbs as of 2012.
barely-true,Ch Guevara wrote extensively about the superiority of white Europeans over people of African descent.
barely-true,Mitt Romneys platform ...wont protect the mortgage interest (tax) deduction for middle-class families.
barely-true,"When I took office in 2003, we had very little reserves."
barely-true,"In Florida, we have the lowest in-state tuition of any state."
barely-true,Says that politicians who approved collective bargaining restrictions for public employees exploited a loophole exempting themselves from Senate Bill 5.
barely-true,Kathleen Peters refuses to take a stand to repeal Obamacare.
barely-true,"Four times, I said, he (John McCain)is a hero, but you know ... people choose selective pieces."
barely-true,Americans increasingly want (the Affordable Care Act) to be repealed.
barely-true,More 25- to 34-year-olds are moving to Austin than any other city in America.
barely-true,The governor must inform the Senate president about his or her absence from the state.
barely-true,Republicans are trying to impeach our president.
barely-true,The price of gasoline was at $1.85 a gallon when President Barack Obama took office and has since nearly doubled because of his policies
barely-true,"Three years ago, a newly elected President Obama told America that if Congress approved his plan to borrow nearly a trillion dollars, he would hold unemployment below 8 percent."
barely-true,Some of our states educational administrators joined the feds in seeking to mandate Arabic classes for Texas children.
barely-true,"There is currently no ability to vet these people, referring to Syrian refugees."
